sequence,frame,file,width,height
cast,1,sprite_skill_fireball_cast_01.png,256,256
cast,2,sprite_skill_fireball_cast_02.png,256,256
cast,3,sprite_skill_fireball_cast_03.png,256,256
cast,4,sprite_skill_fireball_cast_04.png,256,256
cast,5,sprite_skill_fireball_cast_05.png,256,256
cast,6,sprite_skill_fireball_cast_06.png,256,256
impact,1,sprite_skill_fireball_impact_01.png,256,256
impact,2,sprite_skill_fireball_impact_02.png,256,256
impact,3,sprite_skill_fireball_impact_03.png,256,256
impact,4,sprite_skill_fireball_impact_04.png,256,256
impact,5,sprite_skill_fireball_impact_05.png,256,256
impact,6,sprite_skill_fireball_impact_06.png,256,256
travel_lr,1,sprite_skill_fireball_travel_lr_01.png,256,256
travel_lr,2,sprite_skill_fireball_travel_lr_02.png,256,256
travel_lr,3,sprite_skill_fireball_travel_lr_03.png,256,256
travel_lr,4,sprite_skill_fireball_travel_lr_04.png,256,256
travel_lr,5,sprite_skill_fireball_travel_lr_05.png,256,256
travel_lr,6,sprite_skill_fireball_travel_lr_06.png,256,256
travel_lr,7,sprite_skill_fireball_travel_lr_07.png,256,256
travel_lr,8,sprite_skill_fireball_travel_lr_08.png,256,256
travel_rl,1,sprite_skill_fireball_travel_rl_01.png,256,256
travel_rl,2,sprite_skill_fireball_travel_rl_02.png,256,256
travel_rl,3,sprite_skill_fireball_travel_rl_03.png,256,256
travel_rl,4,sprite_skill_fireball_travel_rl_04.png,256,256
travel_rl,5,sprite_skill_fireball_travel_rl_05.png,256,256
travel_rl,6,sprite_skill_fireball_travel_rl_06.png,256,256
travel_rl,7,sprite_skill_fireball_travel_rl_07.png,256,256
travel_rl,8,sprite_skill_fireball_travel_rl_08.png,256,256
travel_dr,1,sprite_skill_fireball_travel_dr_01.png,256,256
travel_dr,2,sprite_skill_fireball_travel_dr_02.png,256,256
travel_dr,3,sprite_skill_fireball_travel_dr_03.png,256,256
travel_dr,4,sprite_skill_fireball_travel_dr_04.png,256,256
travel_dr,5,sprite_skill_fireball_travel_dr_05.png,256,256
travel_dr,6,sprite_skill_fireball_travel_dr_06.png,256,256
travel_dr,7,sprite_skill_fireball_travel_dr_07.png,256,256
travel_dr,8,sprite_skill_fireball_travel_dr_08.png,256,256
travel_dl,1,sprite_skill_fireball_travel_dl_01.png,256,256
travel_dl,2,sprite_skill_fireball_travel_dl_02.png,256,256
travel_dl,3,sprite_skill_fireball_travel_dl_03.png,256,256
travel_dl,4,sprite_skill_fireball_travel_dl_04.png,256,256
travel_dl,5,sprite_skill_fireball_travel_dl_05.png,256,256
travel_dl,6,sprite_skill_fireball_travel_dl_06.png,256,256
travel_dl,7,sprite_skill_fireball_travel_dl_07.png,256,256
travel_dl,8,sprite_skill_fireball_travel_dl_08.png,256,256
